date,amb_temp_max_c,amb_temp_min_c,amb_temp_avg_c,humidity,wind_gust_kph,blower_id,site_id,operational_class,max_op_ambient_temp_c,failure_threshold,max_op_rpm,daily_op_hours,cumulative_op_hours,daily_load_percent,rpm,dust_index,pressure_diff_psi,casing_temperature_c,vibration_mm_s,daily_degradation,degradation_index,maintenance_event,maintenance_threshold,health_score,maintenance_event_triggered,failure_event,RUL_days,maintenance_due_90d,previous_maintenance_event,maintenance_cycle,days_since_maintenance,cycle_start_cumulative_hours,hours_since_maintenance,Option_A_Full_Model_rf_predicted_RUL_days,Option_A_Full_Model_predicted_RUL_days,policy,policy_type,oem_interval_hours,policy_degradation_index,policy_health_score,policy_maintenance_event,policy_failure_event,policy_high_risk_day
2025-10-01,24.33333333333333,12.833333333333334,18.666666666666664,67.9,17.9,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,24.0,6004.209642774686,89.05692799733534,2671.70783992006,44.42,13.079971719872765,35.03851295481054,5.233913363678867,0.0045499741038161,0.1828208878960107,0,0.6,81.71791121039892,0,0,135.92185787347591,1,0,3,12,5736.380884598248,267.828758176438,147.8177466300882,149.79317,OEM 2000h,OEM,2000,0.18282088789601061,81.71791121039894,0,0,0
2025-10-02,33.22222222222222,10.055555555555555,22.05555555555556,53.5,32.7,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,24.0,6028.209642774686,88.6715516270026,2660.146548810078,70.52,13.689119393035243,40.13484727337576,6.304787746065635,0.005584544647687,0.1884054325436977,0,0.6,81.15945674563022,0,0,134.99297744487973,1,0,3,13,5736.380884598248,291.828758176438,151.9542240618287,147.89233,OEM 2000h,OEM,2000,0.18840543254369763,81.15945674563024,0,0,0
2025-10-03,22.33333333333333,16.055555555555557,19.444444444444443,69.2,27.7,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,22.57876982883475,6050.788412603521,74.53916066126486,2236.174819837946,57.99,10.94545546500442,36.32835308377914,5.237994364554112,0.0042417338684563,0.1926471664121541,0,0.6,80.73528335878459,0,0,134.28744748276284,1,0,3,14,5736.380884598248,314.407528005273,152.43814527261796,143.9266,OEM 2000h,OEM,2000,0.19264716641215393,80.7352833587846,0,0,0
2025-10-04,21.05555555555556,13.333333333333334,17.88888888888889,74.3,21.7,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,20.85541418545785,6071.643826788978,89.89437712186421,2696.8313136559264,48.07,13.048210705282164,34.452639120355215,5.284530450174746,0.0048547422656337,0.1975019086777878,0,0.6,80.24980913222122,0,0,133.4799554917563,1,0,3,15,5736.380884598248,335.2629421907304,147.26299575081387,144.90166,OEM 2000h,OEM,2000,0.19750190867778764,80.24980913222124,0,0,0
2025-10-05,30.666666666666668,14.22222222222222,22.5,59.4,18.1,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,20.331382792024872,6091.975209581003,99.36879487362124,2981.063846208637,43.1,13.444931133707554,42.206880797750166,5.870823775486304,0.0063097479171319,0.2038116565949198,0,0.6,79.61883434050803,0,0,132.43045159853793,1,0,3,16,5736.380884598248,355.5943249827551,150.44901767126802,142.97249,OEM 2000h,OEM,2000,0.20381165659491954,79.61883434050804,0,0,0
2025-10-06,36.333333333333336,15.88888888888889,26.38888888888889,44.5,19.7,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,23.7867144296333,6115.761924010636,86.20372232705942,2586.111669811783,57.25,11.811162162598473,42.59040197253884,5.793255759320101,0.0061207762795213,0.209932432874441,0,0.6,79.0067567125559,0,0,131.4123794632891,1,0,3,17,5736.380884598248,379.3810394123884,152.34540460148838,144.19304,OEM 2000h,OEM,2000,0.20993243287444083,79.00675671255591,0,0,0
2025-10-07,30.444444444444443,17.666666666666668,24.55555555555556,49.6,26.4,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,22.39412383772071,6138.156047848357,82.63872386552046,2479.161715965614,63.96,12.51774921735623,42.14987759392891,5.47524743720876,0.0054883533559394,0.2154207862303805,0,0.6,78.45792137696195,0,0,130.49949858594422,1,0,3,18,5736.380884598248,401.7751632501095,151.1721438836442,144.03696,OEM 2000h,OEM,2000,0.21542078623038022,78.45792137696198,0,0,0
2025-10-08,31.55555555555556,16.22222222222222,23.55555555555556,63.9,17.0,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,22.720215105087416,6160.876262953445,84.00597749914735,2520.1793249744205,35.25,11.960245444448418,40.229470350522064,5.374630566053031,0.0053991480593076,0.2208199342896882,0,0.6,77.91800657103117,0,0,129.60145527538333,1,0,3,19,5736.380884598248,424.4953783551973,149.4277883839444,141.99382,OEM 2000h,OEM,2000,0.22081993428968782,77.91800657103121,0,0,0
2025-10-09,31.22222222222222,16.833333333333332,24.0,61.1,21.0,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,20.0,6180.876262953445,89.30679736877993,2679.203921063397,56.1,13.105581426413968,44.79625503756397,6.22007436451934,0.0057765670253409,0.2265965013150292,0,0.6,77.34034986849709,0,0,128.64063565752323,1,0,3,20,5736.380884598248,444.4953783551973,147.26769727719778,147.04811,OEM 2000h,OEM,2000,0.22659650131502873,77.34034986849713,0,0,0
2025-10-10,31.55555555555556,19.72222222222222,24.61111111111111,56.8,18.8,ZG150_B001,Site_01,High Duty,48.9,1.0,3000,23.391157722337272,6204.267420675782,72.88529876144948,2186.558962843485,44.62,11.258054584390386,40.872054444404654,4.855254268902003,0.0051437070527849,0.2317402083678141,0,0.6,76.82597916321858,0,0,127.7850799921669,1,0,3,21,5736.380884598248,467.8865360775344,147.11659909542487,146.28148,OEM 2000h,OEM,2000,0.23174020836781364,76.82597916321863,0,0,0
