date,blower_id,site_id,operational_class,max_op_ambient_temp_c,min_op_ambient_temp_c,max_op_discharge_temp_c,max_op_pressure_diff_psi,service_interval_days,max_op_rpm,daily_op_hours,daily_load_percent,rpm,cumulative_op_hours,amb_temp_max_c,amb_temp_min_c,amb_temp_avg_c,humidity,wind_gust_kph,dust_index_raw,dust_index,pressure_diff_psi,casing_temperature_c,vibration_mm_s,daily_degradation,degradation_index,maintenance_event,health_score,RUL_days,failure_threshold,failure_event,maintenance_event_triggered,daily_degradation_rate
2025-01-01,ZG_150_Blower_01,Site_01,High Duty,48.9,-15,167.2,15,365,3000,21.457075619631645,87.13301955828102,2613.990586748431,21.457075619631645,35.77777777777778,23.555555555555557,29.333333333333332,63.9,17.2,0.4326517270035946,43.27,14.31349953407478,49.04911597585599,5.76640816881504,0.0060785158937948355,0.0060785158937948355,0,99.39214841062052,1473.283650413155,1.0,0,0,0.0
2025-01-02,ZG_150_Blower_01,Site_01,High Duty,48.9,-15,167.2,15,365,3000,20.0,77.72011125631653,2331.6033376894957,41.457075619631645,31.77777777777778,20.72222222222222,26.055555555555557,79.5,15.0,0.2680960327832133,26.81,11.695415898662207,42.48662994191403,5.325183189216224,0.004593211928769014,0.01067172782256385,0,98.93282721774361,1466.4751608636777,1.0,0,0,0.004593211928769014
2025-01-03,ZG_150_Blower_01,Site_01,High Duty,48.9,-15,167.2,15,365,3000,22.125676793709687,90.2531583706452,2707.594751119356,63.58275241334133,31.61111111111111,22.22222222222222,26.611111111111114,78.3,13.9,0.3449574804252436,34.5,13.09165924471291,46.11959389071247,5.483324995518136,0.005082565550419916,0.015754293372983764,0,98.42457066270163,1458.941305476378,1.0,0,0,0.005082565550419915
2025-01-04,ZG_150_Blower_01,Site_01,High Duty,48.9,-15,167.2,15,365,3000,22.41084707458682,91.5839530147385,2747.518590442155,85.99359948792815,32.72222222222222,23.72222222222222,28.000000000000004,71.4,12.9,0.3661901405814655,36.62,13.808508867242063,46.99367319572118,5.7490381747792885,0.005716537433471288,0.021470830806455052,0,97.8529169193545,1450.4677174994747,1.0,0,0,0.005716537433471287
2025-01-05,ZG_150_Blower_01,Site_01,High Duty,48.9,-15,167.2,15,365,3000,20.0,71.34275367942314,2140.282610382694,105.99359948792815,34.111111111111114,22.5,29.38888888888889,66.3,19.8,0.35153395485302247,35.15,12.249040426390742,45.716659175936044,5.138760924135163,0.005151976021737736,0.026622806828192788,0,97.33771931718073,1442.8309754011061,1.0,0,0,0.005151976021737736
2025-01-06,ZG_150_Blower_01,Site_01,High Duty,48.9,-15,167.2,15,365,3000,20.0,75.88474345196377,2276.5423035589133,125.99359948792815,33.5,23.277777777777782,28.000000000000004,73.6,15.2,0.28176086592672533,28.18,11.96253993845707,44.520871804667564,5.186772405773848,0.005205015718876217,0.03182782254706901,0,96.8172177452931,1435.1156128886842,1.0,0,0,0.005205015718876219
2025-01-07,ZG_150_Blower_01,Site_01,High Duty,48.9,-15,167.2,15,365,3000,21.19176060475093,85.894882822171,2576.84648466513,147.18536009267908,33.5,24.055555555555557,28.833333333333332,69.6,12.3,0.32323011539645957,32.32,13.687819749213885,48.52006220514957,5.49180243680485,0.005355632317683986,0.037183454864752996,0,96.2816545135247,1427.176992326152,1.0,0,0,0.005355632317683989
2025-01-08,ZG_150_Blower_01,Site_01,High Duty,48.9,-15,167.2,15,365,3000,20.525636111484626,82.78630185359492,2483.5890556078475,167.7109962041637,34.44444444444444,22.277777777777775,28.666666666666668,69.2,29.1,0.5692926322875828,56.93,14.156364158106806,48.305353806878855,5.468050678979654,0.005868661196589095,0.04305211606134209,0,95.69478839386579,1418.4779122388309,1.0,0,0,0.005868661196589096
2025-01-09,ZG_150_Blower_01,Site_01,High Duty,48.9,-15,167.2,15,365,3000,20.974798263743565,84.88239189746997,2546.4717569240993,188.68579446790727,26.555555555555557,21.055555555555557,23.555555555555557,90.0,23.0,0.4042393072041506,40.42,13.677125304217327,39.51790977419469,5.441855301282929,0.005402708110641981,0.04845482417198407,0,95.15451758280159,1410.4695115204167,1.0,0,0,0.005402708110641981
2025-01-10,ZG_150_Blower_01,Site_01,High Duty,48.9,-15,167.2,15,365,3000,20.0,79.02869250698494,2370.860775209548,208.68579446790727,30.444444444444443,21.5,24.388888888888893,88.4,19.6,0.31485891473243216,31.49,12.64924057629069,38.090973502490215,4.689467174801542,0.004689661660648695,0.05314448583263277,0,94.68555141673673,1403.5180551316696,1.0,0,0,0.004689661660648693
